"20"	"Caite Supplier"	"CAITE15OFF"	"1"	"15"	"DISCOUNT, SALE"	""	""	"2016-9-21 00:00:00"	"2016-10-9 23:59:59"	"2"	"1"	"2016-9-20 20:55:21"	"2016-10-10 16:49:28"	"17885"	"17885"	"17885"	""	""	""	""	""	""	""
"21"	"Smile Smile Supplier"	"SMILE10OFF"	"1"	"10"	"SALE, DISCOUNT"	""	""	"2016-9-21 00:00:00"	"2016-10-9 23:59:59"	"2"	"1"	"2016-9-20 20:58:19"	"2016-10-10 16:49:18"	"17885"	"17885"	"17885"	""	""	""	""	""	""	""
"22"	"Aileen Supplier"	"AILEEN10OFF"	"1"	"10"	"Sale, Discount"	""	""	"2016-9-21 00:00:00"	"2016-10-9 23:59:59"	"2"	"1"	"2016-9-20 21:00:05"	"2016-10-10 16:49:03"	"17885"	"17885"	"17885"	""	""	""	""	""	""	""
"23"	"Ehao-Dist"	"20POWERBANK"	"1"	"25"	"ehao distribution"	""	""	"2016-9-22 00:00:00"	"2017-5-19 23:59:59"	"2"	"1"	"2016-9-22 09:41:36"	"2017-1-16 09:45:13"	"34862"	"34907"	"34862"	""	""	""	""	""	""	""
"24"	"Amazing freebies for you!"	"FREEBIES"	"0"	"0"	"Amazing freebies for you!"	""	""	"2016-9-27 00:00:00"	"2016-10-14 23:59:59"	"2"	"1"	"2016-9-27 17:15:11"	"2016-9-30 19:18:54"	"1"	"1"	"1"	""	""	""	"others/160927/-4785265681813116805.jpg"	"others/160928/-8870275682956202447.jpg"	""	"0"
"25"	"Payday 50 OFF"	"50PYDY"	"0"	"50"	"Discount, Sale"	""	""	"2016-9-30 00:00:00"	"2016-10-2 23:59:59"	"2"	"1"	"2016-9-29 16:22:19"	"2016-9-29 16:31:14"	"17885"	"17885"	"17885"	""	""	""	""	""	""	""
"26"	"Payday 80 OFF"	"80PYDY"	"0"	"80"	"Sale, Discount"	""	""	"2016-9-30 00:00:00"	"2016-10-2 23:59:59"	"2"	"-1"	"2016-9-29 16:28:50"	"2016-9-29 21:50:04"	"17885"	"17885"	"17885"	""	""	""	""	""	""	""
"27"	"Payday 100 OFF"	"100PYDY"	"0"	"100"	"Sales, Discounts"	""	""	"2016-9-30 00:00:00"	"2016-10-2 23:59:59"	"2"	"1"	"2016-9-29 16:37:52"	"2016-9-29 16:37:52"	"17885"	"17885"	"17885"	""	""	""	""	""	""	""
"28"	"Payday 150 OFF"	"150PYDY"	"0"	"150"	"Sales, Discounts"	""	""	"2016-9-30 00:00:00"	"2016-10-2 23:59:59"	"2"	"1"	"2016-9-29 16:49:51"	"2016-9-29 16:49:51"	"17885"	"17885"	"17885"	""	""	""	""	""	""	""
"29"	"VIP2k"	"VIP15OFF"	"1"	"15"	"Sale, Discount"	"Sale, Discount"	""	"2016-10-1 00:00:00"	"2016-11-16 23:59:59"	"2"	"1"	"2016-9-30 15:24:54"	"2016-11-17 12:44:00"	"17885"	"17885"	"17885"	""	""	""	""	""	""	""
"30"	"VIP (No Min Purchase)"	"15OFFVIP"	"1"	"15"	"SALES, DISCOUNT"	""	""	"2016-10-6 00:00:00"	"2016-11-16 23:59:59"	"2"	"1"	"2016-10-6 18:45:17"	"2016-11-17 12:43:44"	"17885"	"17885"	"17885"	""	""	""	""	""	""	""
"31"	"VIP (Min of P4000)"	"VIP20OFF"	"1"	"20"	"SALES, DISCOUNT"	""	""	"2016-10-6 00:00:00"	"2016-11-16 23:59:59"	"2"	"1"	"2016-10-6 18:46:58"	"2016-11-17 12:43:16"	"17885"	"17885"	"17885"	""	""	""	""	""	""	""
